run,metric,tokens,value
h500,train,908918417,3.126022
h500,train,914114650,3.127510
h500,train,918269298,3.135758
h500,train,923464894,3.119088
h500,train,927620021,3.112563
h500,train,931772902,3.099256
h500,train,936965918,3.106398
h500,train,941118906,3.109914
h500,train,945276703,3.102359
h500,train,950467081,3.101805
h500,train,955669195,3.110117
h500,train,959826501,3.117763
h500,train,963981921,3.122369
h500,train,968139393,3.114717
h500,train,973336925,3.114316
h500,train,978533915,3.105780
h500,train,982691880,3.101961
h500,train,987879317,3.091911
h500,train,993079733,3.090213
h500,train,997232577,3.076684
h500,train,1001387745,3.069412
h500,train,1005541152,3.068620
h500,train,1010735773,3.064690
h500,train,1015932538,3.062201
h500,train,1020081039,3.076816
h500,train,1025271004,3.061462
h500,train,1030455659,3.065759
h500,train,1034606189,3.054407
h500,train,1038754986,3.055054
h500,eval,20765914,6.843608
h500,eval,37390033,6.267592
h500,eval,64393399,5.658756
h500,eval,84122806,5.216456
h500,eval,101780044,4.875424
h500,eval,120467388,4.630182
h500,eval,147477730,4.434843
h500,eval,166180995,4.291468
h500,eval,183834142,4.183335
h500,eval,210858940,4.087050
h500,eval,228549389,4.006527
h500,eval,247249182,3.941563
h500,eval,274258334,3.878481
h500,eval,291913953,3.827189
h500,eval,310615749,3.782639
h500,eval,337640181,3.717528
h500,eval,355304136,3.670799
h500,eval,374015387,3.622312
h500,eval,390631328,3.564190
h500,eval,418686200,3.527788
h500,eval,437397188,3.490240
h500,eval,455065418,3.449432
h500,eval,482080478,3.421379
h500,eval,500790239,3.395007
h500,eval,517415417,3.364822
h500,eval,536098899,3.344450
h500,eval,565181613,3.324362
h500,eval,581806829,3.309006
h500,eval,600501681,3.291083
h500,eval,628534027,3.269445
h500,eval,646179595,3.254479
h500,eval,664885761,3.240188
h500,eval,683565419,3.223089
h500,eval,710583063,3.213240
h500,eval,729277510,3.200351
h500,eval,747959313,3.186465
h500,eval,765616210,3.176829
h500,eval,793646508,3.166032
h500,eval,812344286,3.153825
h500,eval,830008344,3.143473
h500,eval,858051001,3.135723
h500,eval,876728397,3.132617
h500,eval,895422163,3.122501
h500,eval,914114650,3.113244
h500,eval,931772902,3.103896
h500,eval,959826501,3.096709
h500,eval,978533915,3.090038
h500,eval,997232577,3.083582
h500,eval,1025271004,3.076330
h100,train,3114046,9.220560
h100,train,6230351,9.220223
h100,train,11426733,8.217101
h100,train,16619354,7.733720
h100,train,19731487,7.400387
h100,train,22854286,7.187905
h100,train,28046810,6.894818
h100,train,33237192,6.707455
h100,train,37390033,6.446522
h100,train,41542212,6.270249
h100,train,45697790,6.044995
h100,train,49855885,5.893121
h100,train,55050687,5.713816
h100,train,60238483,5.583038
h100,train,64393399,5.437469
h100,train,68547889,5.340419
h100,train,72707301,5.234506
h100,train,76857085,5.149440
h100,train,81010832,5.047073
h100,train,85165566,4.984608
h100,train,90355883,4.881464
h100,train,95555359,4.818740
h100,train,99705680,4.746378
h100,train,103856864,4.684608
h100,train,109046447,4.606920
h100,train,113204042,4.560872
h100,train,117355389,4.496432
h100,train,122547421,4.466267
h100,train,126701734,4.387682
h100,train,130850515,4.352679
h100,train,135001031,4.297139
h100,train,139162678,4.264988
h100,train,143319538,4.220203
h100,train,147477218,4.201746
h100,train,152678950,4.149950
h100,train,157872629,4.112770
h100,train,162029321,4.090209
h100,train,166188481,4.070864
h100,train,170336749,4.033410
h100,train,174486231,4.003317
h100,train,179676791,3.974720
h100,train,184875800,3.953912
h100,train,189029703,3.927528
h100,train,193189615,3.902571
h100,train,197344380,3.885439
h100,train,201502112,3.864882
h100,train,205662754,3.842205
h100,train,209826214,3.830553
h100,train,215023442,3.813239
h100,train,220217817,3.801347
h100,train,224389130,3.776931
h100,train,228552935,3.767930
h100,train,232714201,3.740411
h100,train,236869548,3.723674
h100,train,242060370,3.695262
h100,train,247253057,3.683064
h100,train,251403928,3.660605
h100,train,255555597,3.646743
h100,train,259713943,3.622495
h100,train,263867368,3.614334
h100,train,268020133,3.599334
h100,train,272181284,3.594145
h100,train,277373801,3.578630
h100,train,282565778,3.558881
h100,train,286725896,3.543979
h100,train,290880393,3.517080
h100,train,295027163,3.505111
h100,train,299183301,3.490270
h100,train,304378614,3.464514
h100,train,309574331,3.458646
h100,train,313735053,3.468329
h100,train,317891481,3.454248
h100,train,322053317,3.437299
h100,train,326210172,3.422504
h100,train,330360519,3.408453
h100,train,334522536,3.393984
h100,train,338680431,3.389041
h100,train,343871739,3.372087
h100,train,349064364,3.357487
h100,train,353221774,3.368980
h100,train,357382775,3.346074
h100,train,361539615,3.336175
h100,train,365691529,3.324873
h100,train,369857990,3.323410
h100,train,375055938,3.305774
h100,train,380249049,3.299844
h100,train,384401889,3.307205
h100,train,388555245,3.294096
h100,train,392710928,3.286219
h100,train,396862292,3.268104
h100,train,401019968,3.272805
h100,train,405177044,3.253378
h100,train,410376261,3.248847
h100,train,415574295,3.240832
h100,train,419721294,3.236432
h100,train,423873565,3.236661
h100,train,428039424,3.237806
h100,train,432196688,3.230029
h100,train,436353746,3.220771
h100,train,440513315,3.210132
h100,train,444675917,3.211471
h100,train,448833677,3.209406
h100,train,454025499,3.200178
h100,train,458180983,3.185833
h100,train,462336481,3.172531
h100,train,467531442,3.163167
h100,train,471686224,3.161050
h100,train,475843722,3.164366
h100,train,479995303,3.168342
h100,train,484157411,3.168542
h100,train,489351679,3.155446
h100,train,494550294,3.163817
h100,train,498711246,3.145379
h100,train,502867296,3.152057
h100,train,507023243,3.152215
h100,train,511174734,3.152938
h100,train,515334512,3.142973
h100,train,519486870,3.138595
h100,train,524681861,3.138932
h100,train,529868957,3.132602
h100,train,534020765,3.142705
h100,train,538175854,3.143786
h100,train,542326880,3.132309
h100,train,547523732,3.125888
h100,train,552724514,3.119196
h100,train,556871001,3.117774
h100,train,561027513,3.105240
h100,train,565182867,3.113029
h100,train,570382761,3.110705
h100,train,575576504,3.116579
h100,train,579733089,3.100681
h100,train,583884006,3.104262
h100,train,588034127,3.094159
h100,train,592190975,3.101388
h100,train,597386437,3.086850
h100,train,602571287,3.082585
h100,train,606729988,3.076156
h100,train,610877894,3.070077
h100,train,615038940,3.056316
h100,train,619188958,3.069108
h100,train,623344995,3.062983
h100,train,627498330,3.065257
h100,train,632684838,3.056919
h100,train,637873122,3.065681
h100,train,642027344,3.051917
h100,train,646181051,3.046963
h100,train,650341686,3.048659
h100,train,654493134,3.054067
h100,train,659690758,3.053310
h100,train,664883044,3.063008
h100,train,669037270,3.048089
h100,train,673189329,3.049668
h100,train,677341531,3.046439
