series,metric,tokens,value
baseline,train_loss,160691126,3.710060
baseline,train_loss,161727843,3.751834
baseline,train_loss,162764560,3.784477
baseline,train_loss,163801277,3.709186
baseline,train_loss,164837994,3.741399
baseline,train_loss,165874711,3.769623
baseline,train_loss,166911428,3.703454
baseline,train_loss,167948145,3.725391
baseline,train_loss,168984862,3.693180
baseline,train_loss,170021579,3.719117
baseline,train_loss,171058296,3.718435
baseline,train_loss,172095013,3.739538
baseline,train_loss,173131730,3.684237
baseline,train_loss,174168447,3.648504
baseline,train_loss,175205163,3.677369
baseline,train_loss,176241880,3.679124
baseline,train_loss,177278597,3.667322
baseline,train_loss,178315314,3.668530
baseline,train_loss,179352031,3.681509
baseline,train_loss,180388748,3.648909
baseline,train_loss,181425465,3.635427
baseline,train_loss,182462182,3.626700
baseline,train_loss,183498899,3.628047
baseline,train_loss,184535616,3.637451
baseline,train_loss,185572333,3.577259
baseline,train_loss,186609050,3.593969
baseline,train_loss,187645767,3.639124
baseline,train_loss,188682484,3.609413
baseline,train_loss,189719201,3.594248
baseline,train_loss,190755918,3.622588
baseline,train_loss,191792635,3.565871
baseline,train_loss,192829351,3.604057
baseline,train_loss,193866068,3.588202
baseline,train_loss,194902785,3.578159
baseline,train_loss,195939502,3.574810
baseline,train_loss,196976219,3.498105
baseline,train_loss,198012936,3.572432
baseline,train_loss,199049653,3.549325
baseline,train_loss,200086370,3.549846
baseline,train_loss,201123087,3.541966
baseline,train_loss,202159804,3.590053
baseline,train_loss,203196521,3.556957
baseline,train_loss,204233238,3.538615
baseline,train_loss,205269955,3.559878
baseline,train_loss,206306672,3.544276
baseline,train_loss,207343389,3.496161
baseline,train_loss,208380106,3.504067
baseline,train_loss,209416823,3.523109
baseline,train_loss,210453540,3.507126
baseline,train_loss,211490256,3.531697
baseline,train_loss,212526973,3.557106
baseline,train_loss,213563690,3.469300
baseline,train_loss,214600407,3.491700
baseline,train_loss,215637124,3.552136
baseline,train_loss,216673841,3.511394
baseline,train_loss,217710558,3.507044
baseline,train_loss,218747275,3.477314
baseline,train_loss,219783992,3.516167
baseline,train_loss,220820709,3.480973
baseline,train_loss,221857426,3.470100
baseline,train_loss,222894143,3.461830
baseline,train_loss,223930860,3.412368
baseline,train_loss,224967577,3.488704
baseline,train_loss,226004294,3.468243
baseline,train_loss,227041011,3.477557
baseline,train_loss,228077728,3.459605
baseline,train_loss,229114445,3.483175
baseline,train_loss,230151161,3.456683
baseline,train_loss,231187878,3.483688
baseline,train_loss,232224595,3.456946
baseline,train_loss,233261312,3.480085
baseline,train_loss,234298029,3.461698
baseline,train_loss,235334746,3.466093
baseline,train_loss,236371463,3.445602
baseline,train_loss,237408180,3.454543
baseline,train_loss,238444897,3.460099
baseline,train_loss,239481614,3.439683
baseline,train_loss,240518331,3.360030
