series,metric,mtokens,value
baseline,train_loss,695.0888,3.302480
baseline,train_loss,699.2262,3.284440
baseline,train_loss,703.3637,3.243290
baseline,train_loss,707.5011,3.229530
baseline,train_loss,711.6385,3.241780
baseline,train_loss,715.7760,3.289100
baseline,train_loss,719.9134,3.219290
baseline,train_loss,724.0508,3.256300
baseline,train_loss,728.1883,3.245350
baseline,train_loss,732.3257,3.209240
baseline,train_loss,736.4631,3.227140
baseline,train_loss,740.6006,3.220220
baseline,train_loss,744.7380,3.216910
baseline,train_loss,748.8754,3.230340
baseline,train_loss,753.0129,3.218170
baseline,train_loss,757.1503,3.192730
baseline,train_loss,761.2877,3.195210
baseline,train_loss,765.4252,3.180940
baseline,train_loss,769.5626,3.215670
baseline,train_loss,773.7000,3.256450
baseline,train_loss,777.8375,3.190360
baseline,train_loss,781.9749,3.162540
baseline,train_loss,786.1123,3.150980
baseline,train_loss,790.2498,3.196710
baseline,train_loss,794.3872,3.192440
baseline,train_loss,798.5246,3.200000
baseline,train_loss,802.6621,3.188220
baseline,train_loss,806.7995,3.207860
baseline,train_loss,810.9369,3.207340
baseline,train_loss,815.0744,3.227220
baseline,train_loss,819.2118,3.206660
baseline,train_loss,823.3492,3.144070
baseline,train_loss,827.4867,3.173690
baseline,train_loss,831.6241,3.183470
baseline,train_loss,835.7615,3.165630
baseline,train_loss,839.8990,3.263190
baseline,train_loss,844.0364,3.151240
baseline,train_loss,848.1738,3.099940
baseline,train_loss,852.3113,3.139470
baseline,train_loss,856.4487,3.149540
baseline,train_loss,860.5861,3.171850
baseline,train_loss,864.7236,3.123040
baseline,train_loss,868.8610,3.109260
baseline,train_loss,872.9984,3.114210
baseline,train_loss,877.1359,3.133640
baseline,train_loss,881.2733,3.141980
baseline,train_loss,885.4107,3.167690
baseline,train_loss,889.5482,3.136130
baseline,train_loss,893.6856,3.146540
baseline,train_loss,897.8230,3.126730
baseline,train_loss,901.9605,3.183540
baseline,train_loss,906.0979,3.206910
baseline,train_loss,910.2353,3.126800
baseline,train_loss,914.3728,3.110850
baseline,train_loss,918.5102,3.102440
baseline,train_loss,922.6476,3.078030
baseline,train_loss,926.7851,3.074860
baseline,train_loss,930.9225,3.076410
baseline,train_loss,935.0599,3.070130
baseline,train_loss,939.1974,3.101810
baseline,train_loss,943.3348,3.147080
baseline,train_loss,947.4722,3.084190
baseline,train_loss,951.6097,3.093470
baseline,train_loss,955.7471,3.091680
baseline,train_loss,959.8845,3.113050
baseline,train_loss,964.0220,3.109230
baseline,train_loss,968.1594,3.081380
baseline,train_loss,972.2968,3.052430
baseline,train_loss,976.4343,3.079680
baseline,train_loss,980.5717,3.093980
baseline,train_loss,984.7091,3.051500
baseline,train_loss,988.8466,3.049410
baseline,train_loss,992.9840,3.107030
baseline,train_loss,997.1214,3.114440
baseline,train_loss,1001.2589,3.053980
baseline,train_loss,1005.3963,3.065920
baseline,train_loss,1009.5337,3.067210
baseline,train_loss,1013.6712,3.048540
baseline,train_loss,1017.8086,3.052910
baseline,train_loss,1021.9460,3.050200
baseline,train_loss,1026.0835,3.053420
baseline,train_loss,1030.2209,3.054950
baseline,train_loss,1034.3583,3.007440
baseline,train_loss,1038.4958,3.071830
baseline,train_loss,1042.6332,3.026820
baseline,train_loss,1046.7706,3.067580
baseline,train_loss,1050.9081,3.044070
baseline,train_loss,1055.0455,3.081740
baseline,train_loss,1059.1829,3.032230
baseline,train_loss,1063.3204,3.010340
baseline,train_loss,1067.4578,3.000050
baseline,train_loss,1071.5952,3.021500
baseline,train_loss,1075.7327,3.051720
baseline,train_loss,1079.8701,2.986580
baseline,train_loss,1084.0075,3.080930
baseline,train_loss,1088.1450,3.068270
baseline,train_loss,1092.2824,2.990730
baseline,train_loss,1096.4198,3.064850
baseline,train_loss,1100.5573,3.043890
baseline,train_loss,1104.6947,3.022640
baseline,train_loss,1108.8321,2.989240
baseline,train_loss,1112.9696,3.008200
baseline,train_loss,1117.1070,3.024170
baseline,train_loss,1121.2444,2.999380
baseline,train_loss,1125.3819,2.968190
baseline,train_loss,1129.5193,2.994810
baseline,train_loss,1133.6567,2.987520
baseline,train_loss,1137.7942,3.050140
baseline,train_loss,1141.9316,2.981850
baseline,train_loss,1146.0690,3.031460
baseline,train_loss,1150.2065,3.017860
baseline,train_loss,1154.3439,2.993150
baseline,train_loss,1158.4813,2.982750
baseline,train_loss,1162.6188,3.006230
baseline,train_loss,1166.7562,2.977070
baseline,train_loss,1170.8936,3.021350
baseline,train_loss,1175.0311,2.954700
baseline,train_loss,1179.1685,3.040340
baseline,train_loss,1183.3059,2.973000
baseline,train_loss,1187.4434,2.975990
baseline,train_loss,1191.5808,2.954820
baseline,train_loss,1195.7182,3.001090
baseline,train_loss,1199.8557,2.985720
baseline,train_loss,1203.9931,2.963180
baseline,train_loss,1208.1305,2.974130
baseline,train_loss,1212.2680,2.953720
baseline,train_loss,1216.4054,2.953490
baseline,train_loss,1220.5428,2.997280
baseline,train_loss,1224.6803,3.006430
baseline,train_loss,1228.8177,2.955750
baseline,train_loss,1232.9551,2.958130
baseline,train_loss,1237.0926,2.956830
baseline,train_loss,1241.2300,2.949850
baseline,train_loss,1245.3674,2.901410
baseline,train_loss,1249.5049,2.971760
baseline,train_loss,1253.6423,2.914500
baseline,train_loss,1257.7797,2.943020
baseline,train_loss,1261.9172,2.952580
baseline,train_loss,1266.0546,2.932210
baseline,train_loss,1270.1920,2.956090
baseline,train_loss,1274.3295,2.932260
baseline,train_loss,1278.4669,2.919540
baseline,train_loss,1282.6043,2.909590
baseline,train_loss,1286.7418,2.973100
baseline,train_loss,1290.8792,2.905920
baseline,train_loss,1295.0166,2.902300
baseline,train_loss,1299.1541,2.893720
baseline,train_loss,1303.2915,2.933750
baseline,train_loss,1307.4289,2.939630
baseline,train_loss,1311.5664,2.924700
baseline,train_loss,1315.7038,2.891400
baseline,train_loss,1319.8412,2.939640
baseline,train_loss,1323.9787,2.940650
baseline,train_loss,1328.1161,2.945400
baseline,train_loss,1332.2535,2.899660
baseline,train_loss,1336.3910,2.888890
baseline,train_loss,1340.5284,2.896860
baseline,train_loss,1344.6658,2.914660
baseline,train_loss,1348.8033,2.914660
baseline,train_loss,1352.9407,2.924370
baseline,train_loss,1357.0781,2.919730
baseline,train_loss,1361.2156,2.874400
baseline,train_loss,1365.3530,2.894500
baseline,train_loss,1369.4904,2.942880
baseline,train_loss,1373.6279,2.917610
baseline,train_loss,1377.7653,2.915780
baseline,train_loss,1381.9027,2.876190
baseline,train_loss,1386.0402,2.910500
baseline,train_loss,1390.1776,2.931290
baseline,train_loss,1394.3150,2.896090
baseline,train_loss,1398.4525,2.867680
baseline,train_loss,1402.5899,2.904110
baseline,train_loss,1406.7273,2.947830
baseline,train_loss,1410.8648,2.912720
baseline,train_loss,1415.0022,2.936100
baseline,train_loss,1419.1396,2.956140
baseline,train_loss,1423.2771,2.913590
baseline,train_loss,1427.4145,2.923620
baseline,train_loss,1431.5519,2.921150
baseline,train_loss,1435.6894,2.936170
baseline,train_loss,1439.8268,2.938160
baseline,train_loss,1443.9642,2.870020
baseline,train_loss,1448.1017,2.902130
baseline,train_loss,1452.2391,2.913290
baseline,train_loss,1456.3765,2.916030
baseline,train_loss,1460.5140,2.921660
baseline,train_loss,1464.6514,2.866740
baseline,train_loss,1468.7888,2.862710
baseline,train_loss,1472.9263,2.886900
baseline,train_loss,1477.0637,2.874280
baseline,train_loss,1481.2011,2.885910
baseline,train_loss,1485.3386,2.946480
baseline,train_loss,1489.4760,2.882160
baseline,train_loss,1493.6134,2.894010
baseline,train_loss,1497.7509,2.890550
baseline,train_loss,1501.8883,2.891090
baseline,train_loss,1506.0257,2.852710
baseline,train_loss,1510.1632,2.893140
baseline,train_loss,1514.3006,2.835580
baseline,train_loss,1518.4380,2.875650
baseline,train_loss,1522.5755,2.866470
baseline,train_loss,1526.7129,2.917940
baseline,train_loss,1530.8503,2.848980
baseline,train_loss,1534.9878,2.869240
baseline,train_loss,1539.1252,2.875240
baseline,train_loss,1543.2626,2.865360
baseline,train_loss,1547.4001,2.868420
baseline,train_loss,1551.5375,2.886560
baseline,train_loss,1555.6749,2.872640
baseline,train_loss,1559.8124,2.866590
baseline,train_loss,1563.9498,2.880930
baseline,train_loss,1568.0872,2.878940
baseline,train_loss,1572.2247,2.878060
baseline,train_loss,1576.3621,2.934840
baseline,train_loss,1580.4995,2.862790
baseline,train_loss,1584.6370,2.884480
baseline,train_loss,1588.7744,2.853290
baseline,train_loss,1592.9118,2.909020
baseline,train_loss,1597.0493,2.856850
baseline,train_loss,1601.1867,2.849410
baseline,train_loss,1605.3241,2.885130
baseline,train_loss,1609.4616,2.869130
baseline,train_loss,1613.5990,2.834620
baseline,train_loss,1617.7364,2.848810
baseline,train_loss,1621.8739,2.846740
baseline,train_loss,1626.0113,2.862840
baseline,train_loss,1630.1487,2.881440
baseline,train_loss,1634.2862,2.894470
baseline,train_loss,1638.4236,2.858880
baseline,train_loss,1642.5610,2.864170
baseline,train_loss,1646.6985,2.843030
baseline,train_loss,1650.8359,2.833460
baseline,train_loss,1654.9733,2.829830
baseline,train_loss,1659.1108,2.859800
baseline,train_loss,1663.2482,2.812040
baseline,train_loss,1667.3856,2.834750
baseline,train_loss,1671.5231,2.850570
baseline,train_loss,1675.6605,2.793750
baseline,train_loss,1679.7979,2.799110
baseline,train_loss,1683.9354,2.857560
baseline,train_loss,1688.0728,2.818420
baseline,train_loss,1692.2102,2.855220
baseline,train_loss,1696.3477,2.804510
baseline,train_loss,1700.4851,2.822210
baseline,train_loss,1704.6225,2.839670
baseline,train_loss,1708.7600,2.878370
baseline,train_loss,1712.8974,2.828740
baseline,train_loss,1717.0348,2.798700
baseline,train_loss,1721.1723,2.811370
baseline,train_loss,1725.3097,2.822390
baseline,train_loss,1729.4471,2.820220
baseline,train_loss,1733.5846,2.803570
baseline,train_loss,1737.7220,2.831850
baseline,train_loss,1741.8594,2.833830
baseline,train_loss,1745.9969,2.819810
baseline,train_loss,1750.1343,2.846290
baseline,train_loss,1754.2717,2.824290
baseline,train_loss,1758.4092,2.801760
baseline,train_loss,1762.5466,2.875690
baseline,train_loss,1766.6840,2.812270
baseline,train_loss,1770.8215,2.825740
baseline,train_loss,1774.9589,2.788700
baseline,train_loss,1779.0963,2.795460
baseline,train_loss,1783.2338,2.829200
baseline,train_loss,1787.3712,2.838910
baseline,train_loss,1791.5086,2.851430
baseline,train_loss,1795.6461,2.854130
baseline,train_loss,1799.7835,2.824470
baseline,train_loss,1803.9209,2.786230
baseline,train_loss,1808.0584,2.807410
baseline,train_loss,1812.1958,2.856040
baseline,train_loss,1816.3332,2.813490
baseline,train_loss,1820.4707,2.819410
baseline,train_loss,1824.6081,2.793370
baseline,train_loss,1828.7455,2.827670
baseline,train_loss,1832.8830,2.787630
baseline,train_loss,1837.0204,2.797610
baseline,train_loss,1841.1578,2.793750
baseline,train_loss,1845.2953,2.798450
baseline,train_loss,1849.4327,2.836390
baseline,train_loss,1853.5701,2.793990
baseline,train_loss,1857.7076,2.814920
baseline,train_loss,1861.8450,2.849770
baseline,train_loss,1865.9824,2.808820
baseline,train_loss,1870.1199,2.797160
baseline,train_loss,1874.2573,2.798780
baseline,train_loss,1878.3947,2.849270
baseline,train_loss,1882.5322,2.802980
baseline,train_loss,1886.6696,2.790240
baseline,train_loss,1890.8070,2.830790
baseline,train_loss,1894.9445,2.799470
baseline,train_loss,1899.0819,2.784340
baseline,train_loss,1903.2193,2.850530
baseline,train_loss,1907.3568,2.801760
baseline,train_loss,1911.4942,2.828130
baseline,train_loss,1915.6316,2.805120
baseline,train_loss,1919.7691,2.760310
baseline,train_loss,1923.9065,2.753250
baseline,train_loss,1928.0439,2.800590
baseline,train_loss,1932.1814,2.808510
baseline,train_loss,1936.3188,2.833910
baseline,train_loss,1940.4562,2.859590
baseline,train_loss,1944.5937,2.797200
baseline,train_loss,1948.7311,2.785470
baseline,train_loss,1952.8685,2.795630
baseline,train_loss,1957.0060,2.757900
baseline,train_loss,1961.1434,2.748220
baseline,train_loss,1965.2808,2.776750
baseline,train_loss,1969.4183,2.747300
baseline,train_loss,1973.5557,2.739410
baseline,train_loss,1977.6931,2.772510
baseline,train_loss,1981.8306,2.869260
baseline,train_loss,1985.9680,2.854850
baseline,train_loss,1990.1054,2.916090
baseline,train_loss,1994.2429,2.900270
