run,metric,step,value
bf16,grad_norm,2704,0.263672
bf16,grad_norm,2736,0.253906
bf16,grad_norm,2768,0.269531
bf16,grad_norm,2800,0.255859
bf16,grad_norm,2832,0.275391
bf16,grad_norm,2864,0.253906
bf16,grad_norm,2896,0.239258
bf16,grad_norm,2928,0.255859
bf16,grad_norm,2960,0.249023
bf16,grad_norm,2992,0.251953
bf16,grad_norm,3024,0.245117
bf16,grad_norm,3056,0.245117
bf16,grad_norm,3088,0.257812
bf16,grad_norm,3120,0.251953
bf16,grad_norm,3152,0.248047
bf16,grad_norm,3184,0.25
bf16,grad_norm,3216,0.237305
bf16,grad_norm,3248,0.240234
bf16,grad_norm,3280,0.235352
bf16,grad_norm,3312,0.237305
bf16,grad_norm,3344,0.242188
bf16,grad_norm,3376,0.242188
bf16,grad_norm,3408,0.237305
bf16,grad_norm,3440,0.236328
bf16,grad_norm,3472,0.259766
bf16,grad_norm,3504,0.253906
bf16,grad_norm,3536,0.244141
bf16,grad_norm,3568,0.232422
bf16,grad_norm,3600,0.229492
bf16,grad_norm,3632,0.228516
bf16,grad_norm,3664,0.371094
bf16,grad_norm,3696,0.244141
bf16,grad_norm,3728,0.229492
bf16,grad_norm,3760,0.229492
bf16,grad_norm,3792,0.239258
bf16,grad_norm,3824,0.232422
bf16,grad_norm,3856,0.226562
bf16,grad_norm,3888,0.233398
bf16,grad_norm,3920,0.228516
bf16,grad_norm,3952,0.220703
bf16,grad_norm,3984,0.230469
bf16,grad_norm,4016,0.226562
bf16,grad_norm,4048,0.223633
bf16,grad_norm,4080,0.223633
bf16,grad_norm,4112,0.226562
bf16,grad_norm,4144,0.219727
bf16,grad_norm,4176,0.225586
bf16,grad_norm,4208,0.220703
bf16,grad_norm,4240,0.227539
bf16,grad_norm,4272,0.222656
bf16,grad_norm,4304,0.21875
bf16,grad_norm,4336,0.226562
bf16,grad_norm,4368,0.224609
bf16,grad_norm,4400,0.225586
bf16,grad_norm,4432,0.226562
bf16,grad_norm,4464,0.226562
bf16,grad_norm,4496,0.217773
bf16,grad_norm,4528,0.21582
bf16,grad_norm,4560,0.242188
bf16,grad_norm,4592,0.226562
bf16,grad_norm,4624,0.212891
bf16,grad_norm,4656,0.21875
bf16,grad_norm,4688,0.219727
bf16,grad_norm,4720,0.213867
bf16,grad_norm,4752,0.22168
bf16,grad_norm,4784,0.216797
bf16,grad_norm,4816,0.213867
bf16,grad_norm,4848,0.226562
bf16,grad_norm,4880,0.220703
bf16,grad_norm,4912,0.217773
bf16,grad_norm,4944,0.22168
bf16,grad_norm,4976,0.22168
bf16,grad_norm,5008,0.21582
bf16,grad_norm,5040,0.214844
bf16,grad_norm,5072,0.214844
bf16,grad_norm,5104,0.217773
bf16,grad_norm,5136,0.216797
bf16,grad_norm,5168,0.222656
bf16,grad_norm,5200,0.210938
bf16,grad_norm,5232,0.217773
bf16,grad_norm,5264,0.220703
bf16,grad_norm,5296,0.231445
bf16,grad_norm,5328,0.217773
bf16,grad_norm,5360,0.209961
bf16,grad_norm,5392,0.212891
bf16,grad_norm,5424,0.212891
bf16,grad_norm,5456,0.212891
bf16,grad_norm,5488,0.21582
bf16,grad_norm,5520,0.220703
bf16,grad_norm,5552,0.209961
bf16,grad_norm,5584,0.212891
bf16,grad_norm,5616,0.211914
bf16,grad_norm,5648,0.209961
bf16,grad_norm,5680,0.224609
bf16,grad_norm,5712,0.199219
bf16,grad_norm,5744,0.209961
bf16,grad_norm,5776,0.209961
bf16,grad_norm,5808,0.212891
bf16,grad_norm,5840,0.213867
bf16,grad_norm,5872,0.207031
bf16,grad_norm,5904,0.198242
bf16,grad_norm,5936,0.204102
bf16,grad_norm,5968,0.209961
bf16,grad_norm,6000,0.213867
bf16,grad_norm,6032,0.207031
bf16,grad_norm,6064,0.210938
bf16,grad_norm,6096,0.201172
bf16,grad_norm,6128,0.206055
bf16,grad_norm,6160,0.212891
bf16,grad_norm,6192,0.202148
bf16,grad_norm,6224,0.212891
bf16,grad_norm,6256,0.204102
bf16,grad_norm,6288,0.202148
bf16,grad_norm,6320,0.212891
bf16,grad_norm,6352,0.208984
bf16,grad_norm,6384,0.204102
bf16,grad_norm,6416,0.214844
bf16,grad_norm,6448,0.202148
bf16,grad_norm,6480,0.200195
bf16,grad_norm,6512,0.204102
bf16,grad_norm,6544,0.220703
bf16,grad_norm,6576,0.207031
bf16,grad_norm,6608,0.195312
bf16,grad_norm,6640,0.204102
bf16,grad_norm,6672,0.199219
bf16,grad_norm,6704,0.208008
bf16,grad_norm,6736,0.199219
bf16,grad_norm,6768,0.213867
bf16,grad_norm,6800,0.202148
bf16,grad_norm,6832,0.200195
bf16,grad_norm,6864,0.202148
bf16,grad_norm,6896,0.201172
bf16,grad_norm,6928,0.207031
bf16,grad_norm,6960,0.220703
bf16,grad_norm,6992,0.199219
bf16,grad_norm,7024,0.202148
bf16,grad_norm,7056,0.203125
bf16,grad_norm,7088,0.203125
bf16,grad_norm,7120,0.206055
bf16,grad_norm,7152,0.209961
bf16,grad_norm,7184,0.222656
bf16,grad_norm,7216,0.224609
bf16,grad_norm,7248,0.220703
bf16,grad_norm,7280,0.202148
bf16,grad_norm,7312,0.210938
bf16,grad_norm,7344,0.202148
bf16,grad_norm,7376,0.207031
bf16,grad_norm,7408,0.196289
bf16,grad_norm,7440,0.201172
bf16,grad_norm,7472,0.201172
bf16,grad_norm,7504,0.200195
bf16,grad_norm,7536,0.207031
bf16,grad_norm,7568,0.202148
bf16,grad_norm,7600,0.197266
bf16,grad_norm,7632,0.202148
bf16,grad_norm,7664,0.210938
bf16,grad_norm,7696,0.204102
bf16,grad_norm,7728,0.200195
bf16,grad_norm,7760,0.192383
bf16,grad_norm,7792,0.203125
bf16,grad_norm,7824,0.204102
bf16,grad_norm,7856,0.197266
bf16,grad_norm,7888,0.197266
bf16,grad_norm,7920,0.193359
bf16,grad_norm,7952,0.195312
bf16,grad_norm,7984,0.194336
bf16,grad_norm,8016,0.203125
bf16,grad_norm,8048,0.198242
bf16,grad_norm,8080,0.195312
bf16,grad_norm,8112,0.197266
bf16,grad_norm,8144,0.198242
bf16,grad_norm,8176,0.201172
bf16,grad_norm,8208,0.193359
bf16,grad_norm,8240,0.197266
bf16,grad_norm,8272,0.188477
bf16,grad_norm,8304,0.192383
bf16,grad_norm,8336,0.195312
bf16,grad_norm,8368,0.201172
bf16,grad_norm,8400,0.198242
bf16,grad_norm,8432,0.202148
bf16,grad_norm,8464,0.204102
bf16,grad_norm,8496,0.198242
bf16,grad_norm,8528,0.199219
bf16,grad_norm,8560,0.206055
bf16,grad_norm,8592,0.216797
bf16,grad_norm,8624,0.201172
bf16,grad_norm,8656,0.197266
bf16,grad_norm,8688,0.195312
bf16,grad_norm,8720,0.197266
bf16,grad_norm,8752,0.210938
bf16,grad_norm,8784,0.189453
bf16,grad_norm,8816,0.192383
bf16,grad_norm,8848,0.197266
bf16,grad_norm,8880,0.195312
bf16,grad_norm,8912,0.220703
bf16,grad_norm,8944,0.208984
bf16,grad_norm,8976,0.189453
bf16,grad_norm,9008,0.192383
bf16,grad_norm,9040,0.188477
bf16,grad_norm,9072,0.1875
bf16,grad_norm,9104,0.1875
bf16,grad_norm,9136,0.196289
bf16,grad_norm,9168,0.191406
bf16,grad_norm,9200,0.189453
bf16,grad_norm,9232,0.193359
bf16,grad_norm,9264,0.198242
bf16,grad_norm,9296,0.193359
bf16,grad_norm,9328,0.188477
bf16,grad_norm,9360,0.199219
bf16,grad_norm,9392,0.197266
bf16,grad_norm,9424,0.189453
bf16,grad_norm,9456,0.196289
bf16,grad_norm,9488,0.200195
bf16,grad_norm,9520,0.186523
bf16,grad_norm,9552,0.202148
bf16,grad_norm,9584,0.192383
bf16,grad_norm,9616,0.192383
bf16,grad_norm,9648,0.192383
bf16,grad_norm,9680,0.197266
bf16,grad_norm,9712,0.185547
bf16,grad_norm,9744,0.191406
bf16,grad_norm,9776,0.200195
bf16,grad_norm,9808,0.19043
bf16,grad_norm,9840,0.193359
bf16,grad_norm,9872,0.193359
bf16,grad_norm,9904,0.193359
bf16,grad_norm,9936,0.19043
bf16,grad_norm,9968,0.188477
bf16,grad_norm,10000,0.18457
bf16,grad_norm,10032,0.19043
bf16,grad_norm,10064,0.185547
bf16,grad_norm,10096,0.235352
bf16,grad_norm,10128,0.194336
bf16,grad_norm,10160,0.186523
bf16,grad_norm,10192,0.197266
bf16,grad_norm,10224,0.208984
bf16,grad_norm,10256,0.194336
bf16,grad_norm,10288,0.188477
bf16,grad_norm,10320,0.188477
bf16,grad_norm,10352,0.201172
bf16,grad_norm,10384,0.188477
bf16,grad_norm,10416,0.188477
bf16,grad_norm,10448,0.195312
bf16,grad_norm,10480,0.191406
bf16,grad_norm,10512,0.1875
bf16,grad_norm,10544,0.191406
bf16,grad_norm,10576,0.195312
bf16,grad_norm,10608,0.188477
bf16,grad_norm,10640,0.194336
bf16,grad_norm,10672,0.181641
bf16,grad_norm,10704,0.188477
bf16,grad_norm,10736,0.188477
bf16,grad_norm,10768,0.1875
bf16,grad_norm,10800,0.191406
bf16,grad_norm,10832,0.18457
bf16,grad_norm,10864,0.189453
bf16,grad_norm,10896,0.18457
bf16,grad_norm,10928,0.18457
bf16,grad_norm,10960,0.188477
bf16,grad_norm,10992,0.193359
bf16,grad_norm,11024,0.18457
bf16,grad_norm,11056,0.180664
bf16,grad_norm,11088,0.188477
bf16,grad_norm,11120,0.188477
bf16,grad_norm,11152,0.199219
bf16,grad_norm,11184,0.188477
bf16,grad_norm,11216,0.183594
bf16,grad_norm,11248,0.194336
bf16,grad_norm,11280,0.19043
bf16,grad_norm,11312,0.1875
bf16,grad_norm,11344,0.188477
bf16,grad_norm,11376,0.1875
bf16,grad_norm,11408,0.189453
bf16,grad_norm,11440,0.186523
bf16,grad_norm,11472,0.193359
bf16,grad_norm,11504,0.191406
bf16,grad_norm,11536,0.183594
bf16,grad_norm,11568,0.180664
bf16,grad_norm,11600,0.1875
bf16,grad_norm,11632,0.186523
bf16,grad_norm,11664,0.188477
bf16,grad_norm,11696,0.1875
bf16,grad_norm,11728,0.186523
bf16,grad_norm,11760,0.18457
bf16,grad_norm,11792,0.196289
bf16,grad_norm,11824,0.186523
bf16,grad_norm,11856,0.186523
bf16,grad_norm,11888,0.186523
bf16,grad_norm,11920,0.180664
bf16,grad_norm,11952,0.181641
bf16,grad_norm,11984,0.181641
bf16,grad_norm,12016,0.186523
bf16,grad_norm,12048,0.182617
bf16,grad_norm,12080,0.186523
bf16,grad_norm,12112,0.189453
bf16,grad_norm,12144,0.181641
bf16,grad_norm,12176,0.194336
bf16,grad_norm,12208,0.18457
bf16,grad_norm,12240,0.178711
bf16,grad_norm,12272,0.195312
bf16,grad_norm,12304,0.200195
bf16,grad_norm,12336,0.217773
bf16,grad_norm,12368,0.189453
bf16,grad_norm,12400,0.18457
bf16,grad_norm,12432,0.1875
bf16,grad_norm,12464,0.181641
bf16,grad_norm,12496,0.182617
bf16,grad_norm,12528,0.182617
bf16,grad_norm,12560,2.04688
bf16,grad_norm,12592,0.300781
bf16,grad_norm,12624,0.191406
bf16,grad_norm,12656,0.18457
bf16,grad_norm,12688,0.192383
bf16,grad_norm,12720,0.19043
bf16,grad_norm,12752,0.180664
bf16,grad_norm,12784,0.19043
bf16,grad_norm,12816,0.183594
bf16,grad_norm,12848,0.192383
bf16,grad_norm,12880,0.186523
bf16,grad_norm,12912,0.194336
bf16,grad_norm,12944,0.193359
bf16,grad_norm,12976,0.207031
bf16,grad_norm,13008,0.1875
bf16,grad_norm,13040,0.192383
bf16,grad_norm,13072,0.18457
bf16,grad_norm,13104,0.196289
bf16,grad_norm,13136,0.194336
bf16,grad_norm,13168,0.191406
bf16,grad_norm,13200,0.188477
bf16,grad_norm,13232,0.181641
bf16,grad_norm,13264,0.19043
bf16,grad_norm,13296,0.189453
bf16,grad_norm,13328,0.182617
bf16,grad_norm,13360,0.186523
bf16,grad_norm,13392,0.179688
bf16,grad_norm,13424,0.19043
bf16,grad_norm,13456,0.186523
bf16,grad_norm,13488,0.186523
bf16,grad_norm,13520,0.183594
bf16,grad_norm,13552,0.182617
bf16,grad_norm,13584,0.192383
bf16,grad_norm,13616,0.19043
bf16,grad_norm,13648,0.181641
bf16,grad_norm,13680,0.188477
bf16,grad_norm,13712,0.183594
bf16,grad_norm,13744,0.181641
bf16,grad_norm,13776,0.182617
bf16,grad_norm,13808,0.191406
bf16,grad_norm,13840,0.18457
bf16,grad_norm,13872,0.18457
bf16,grad_norm,13904,0.180664
bf16,grad_norm,13936,0.1875
bf16,grad_norm,13968,0.205078
bf16,grad_norm,14000,0.183594
bf16,grad_norm,14032,0.175781
bf16,grad_norm,14064,0.18457
bf16,grad_norm,14096,0.177734
bf16,grad_norm,14128,0.183594
bf16,grad_norm,14160,0.180664
bf16,grad_norm,14192,0.180664
bf16,grad_norm,14224,0.188477
bf16,grad_norm,14256,0.182617
bf16,grad_norm,14288,0.182617
bf16,grad_norm,14320,0.194336
bf16,grad_norm,14352,0.182617
bf16,grad_norm,14384,0.183594
bf16,grad_norm,14416,0.180664
bf16,grad_norm,14448,0.19043
bf16,grad_norm,14480,0.182617
bf16,grad_norm,14512,0.183594
bf16,grad_norm,14544,0.18457
bf16,grad_norm,14576,0.182617
bf16,grad_norm,14608,0.177734
bf16,grad_norm,14640,0.180664
bf16,grad_norm,14672,0.197266
bf16,grad_norm,14704,0.183594
bf16,grad_norm,14736,0.181641
bf16,grad_norm,14768,0.18457
bf16,grad_norm,14800,0.188477
bf16,grad_norm,14832,0.19043
bf16,grad_norm,14864,0.177734
bf16,grad_norm,14896,0.188477
bf16,grad_norm,14928,0.185547
bf16,grad_norm,14960,0.179688
bf16,grad_norm,14992,0.177734
bf16,grad_norm,15024,0.182617
bf16,grad_norm,15056,0.186523
bf16,grad_norm,15088,0.177734
bf16,grad_norm,15120,0.183594
bf16,grad_norm,15152,0.182617
bf16,grad_norm,15184,0.180664
bf16,grad_norm,15216,0.185547
bf16,grad_norm,15248,0.181641
bf16,grad_norm,15280,0.175781
bf16,grad_norm,15312,0.19043
bf16,grad_norm,15344,0.178711
bf16,grad_norm,15376,0.188477
bf16,grad_norm,15408,0.180664
bf16,grad_norm,15440,0.1875
bf16,grad_norm,15472,0.180664
bf16,grad_norm,15504,0.182617
bf16,grad_norm,15536,0.18457
bf16,grad_norm,15568,0.19043
bf16,grad_norm,15600,0.178711
bf16,grad_norm,15632,0.185547
bf16,grad_norm,15664,0.182617
bf16,grad_norm,15696,0.181641
bf16,grad_norm,15728,0.188477
bf16,grad_norm,15760,0.189453
bf16,grad_norm,15792,0.183594
bf16,grad_norm,15824,0.195312
bf16,grad_norm,15856,0.177734
bf16,grad_norm,15888,0.182617
bf16,grad_norm,15920,0.178711
bf16,grad_norm,15952,0.178711
bf16,grad_norm,15984,0.180664
bf16,grad_norm,16016,0.185547
